marsh14,marsh15,emg14,emg15,invaded2014,invaded2015
0,0,3,1,0,0
0,0,1,1,0,0
0,6,22,29,14,15
0,2,0,0,1,0
10,12,25,25,19,15
0,2,1,3,1,0
0,0,0,0,1,0
14,19,24,25,12,16
22,62,39,94,32,34
5,4,6,2,4,4
2,6,0,0,2,2
1,0,0,0,0,0
1,0,0,0,0,0
0,0,0,1,0,0
2,10,4,3,6,0
0,3,1,0,4,2
0,1,0,1,0,0
0,5,0,4,0,1
0,2,0,0,0,0
0,1,1,0,0,0
0,1,0,0,1,0
0,1,0,0,0,0
0,1,0,0,0,0
